
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
      8     2.10       2.07       0.00    4008   0 AdminService
     19     8.88       1.15       0.36    2784   8 ApplicationFrameHost
     14    13.55      18.95      18.62    6252   0 audiodg
     24   208.07     196.11     220.23    2892   8 Code
     14    31.93      16.78       1.14    5048   8 Code
     26   134.81      91.86      58.91    6504   8 Code
     12    10.47      15.80       0.06    6784   8 Code
     16    13.36      16.62       2.23    8412   8 Code
     14    22.24      22.45       0.97    8900   8 Code
     15    32.71      27.12       4.64    8992   8 Code
     18    83.84      77.94      32.45    9080   8 Code
    223    74.11      75.38      95.00   12080   8 Code
     49    50.17      50.35      36.72   15328   8 Code
      8     1.53       6.65       0.84    3804   8 conhost
      7     6.09       0.51       0.00    5652   0 conhost
      7     6.25      10.97       0.00    5656   8 conhost
      7     6.24      10.98       0.00   10488   8 conhost
      7     6.25      10.97       0.00   11076   8 conhost
      7     6.26      10.97       0.03   11580   8 conhost
     12     6.88       1.60       2.22   12040   8 conhost
      7     6.25      10.97       0.00   13584   8 conhost
      8     1.41       5.93       0.05    6940   8 crashpad_handler
      8     1.38       1.70       0.14    8008   8 crashpad_handler
     26     2.30       1.89       0.00     696   0 csrss
     21     2.43       6.11       0.00   10836   8 csrss
     16     4.60       8.26      18.55    5532   8 ctfmon
     22    11.38       7.24       0.00    3992   0 dasHost
      6     0.95       0.26       0.00    5092   0 dasHost
     18     3.84       3.72       0.00    3924   0 dllhost
     17     3.50      11.17       0.22   10500   8 dllhost
     49    43.05      15.85       0.00   11604   0 DSAService
     30    30.17      16.46     103.08    5808   8 DSATray
     25    41.09      12.71       0.00   10524   0 DSAUpdateService
     34    47.57      21.34       0.00   11028   8 dwm
     85    74.23      61.15     235.03   12584   8 explorer
     11    20.25       7.42      11.59     880   8 firefox
    143   350.45     264.23   1,028.66    2852   8 firefox
     23    43.68      19.57       7.12    5928   8 firefox
